[Fri 00:14:53] watchdog up: root 21014 (o3_r8_p0_d8), kill if free disk < 5 GB, every 60s
[00:14:54] tree 0.00 GB (peak 0.00)  free disk 38 GB  swap used 1024.00M | 21014:1264K/0B
[01:58:41] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:59:42] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:00:42] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:01:43] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:02:43] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:03:44] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:04:44] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:05:45] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:06:45] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:07:45] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:08:46] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:09:46] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:10:47] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:11:47] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:12:48] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:13:48] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:14:49] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:15:49] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:16:49] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:17:50] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:18:50] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:19:51] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:20:51] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:21:52] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:22:52] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:23:53] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:24:53] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:25:53] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/18G
[02:26:54] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:27:54] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:24G/19G
[02:28:55] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:29:55] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:30:56] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:31:56] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:32:57] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:33:57] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:34:57] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:35:58] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:36:58] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/19G
[02:37:59] tree 26.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:24G/20G
[02:38:59] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:40:00] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[02:41:00] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:42:00] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:43:01] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:44:01] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:45:02] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/20G
[02:46:02] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:47:03] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:48:03] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/20G
[02:49:04] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:50:04] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:51:05] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:52:05] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:53:06] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:54:06] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:55:07] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:56:07] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:57:08] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
[02:58:08] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[02:59:09] tree 25.57 GB (peak 26.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1040K 21082:880K/704K 21084:2629M/2627M 23580:23G/19G
